TextCode,URL,GenderAuthor,Source,Model,Sentiment,ModelComments
nu-f-001.pdf,https://qalampir.uz/uz/news/gender-tenglik-tushunchasi-notugri-talk-in-k-ilinadi-almatov-131820,M,newspaper,GPT5.2Thinking,-0.25,"The text is largely problem-focused and cautionary, emphasizing worrying statistics about women’s crime, youth crime, and high divorce figures, and framing them as a serious social issue affecting families and children nu-f-001.pdf. It also notes a positive element (women becoming mayors/ministers) and promotes mutual respect and balance in families, but these are secondary to the overall negative framing around crime and family breakdown"
nu-f-002.pdf,https://qalampir.uz/uz/news/4-nafar-ayelni-fo%D2%B3ishalik-uchun-sotmok-chi-bulgan-shakhs-ushlandi-video-130611,M,newspaper,GPT5.2Thinking,-0.85,"The text reports an attempted human trafficking case: a woman allegedly tried to send four women to Russia for prostitution by deception, aiming to profit from selling them, and the victims were stopped at the airport; a criminal case has been opened and an investigation is ongoing. This content centers on exploitation, crime, and victimization, which makes the overall sentiment strongly negative."
nu-f-003.pdf,https://qalampir.uz/uz/news/17-yeshli-k-izning-k-otiliga-%D2%B3ukmni-uzgartirish-uchun-pora-olgan-sud-yalarga-ish-ochildi-127574,M,newspaper,GPT5.2Thinking,-0.95,"The text is dominated by extremely distressing content: the rape and murder of a 17-year-old girl, detailed descriptions of the violence, and allegations of corruption where former judges took a bribe to reduce the suspect’s sentence. It also discusses prior violent offenses and concerns about other possible related crimes. Because the narrative centers on severe harm, injustice, and abuse of power—with essentially no positive or uplifting elements—the overall sentiment is overwhelmingly negative."
nu-f-004.pdf,https://qalampir.uz/uz/news/toshkentda-talaba-ishk-iy-munosabat-uchun-chak-irilgan-ayelni-bugib-uldirdi-125150,M,newspaper,GPT5.2Thinking,-0.92,"This text is overwhelmingly negative because it centers on a deliberate killing (strangulation), the attempt to hide the body, and the subsequent criminal trial and prison sentence. The narrative includes violence, fear, conflict, and criminal punishment, with virtually no positive or uplifting elements—so the overall emotional tone is strongly negative."
nu-f-005.pdf,https://qalampir.uz/uz/news/15-yeshli-k-izga-uylangan-27-yeshli-erkakka-zhinoyat-ishi-k-uzgatildi-124621,M,newspaper,ChatGPT 5.2,-0.7,"The overall sentiment of the text is strongly negative. It reports on a serious legal and social issue involving the forced/illegal marriage of a 15-year-old girl in Surxondaryo, the initiation of criminal cases, and violations of child rights and marriage laws. The language is factual and formal (like a news report), but the content centers on crime, legal violations, exploitation of a minor, and official condemnation of early marriage. These themes—child rights abuse, criminal investigation, and legal consequences—create a predominantly negative emotional tone, even though the text also mentions protective measures (investigation, monitoring of the girl’s education, and legal accountability). This prevents it from being completely negative (-1), but it is still clearly negative overall."
nu-f-006.pdf,https://t.me/SukutSaqlama/4895,M,newspaper,ChatGPT 5.2,-0.2,"this passage is about proposed legal reforms aimed at strengthening protection for children and survivors of abuse. The emotional tone is therefore very different.

The text contains:

Negative elements
The topic itself is rooted in serious crimes (pedophilia, sexual violence).

The need for harsher punishment implies existing problems in the justice system.

The context is sensitive and emotionally heavy."
nu-f-007.pdf,https://t.me/SukutSaqlama/4894,M,newspaper,ChatGPT 5.2,0.8,"This passage is fundamentally uplifting and celebratory. It highlights:

O‘zbekistonlik ayol velosportchilarning Osiyo chempionatida kumush medal olgani

Sportchilarning barqarorligi, chidamliligi va jamoaviy birdamligi

O‘zbekiston ayollar sportining yuksak saviyada ekanini tasdiqlashi

Milliy terma jamoaning xalqaro maydondagi muvaffaqiyati"
nu-f-008.pdf,https://t.me/SukutSaqlama/4892,M,newspaper,ChatGPT 5.2,-0.9,"The passage deals with:

Voyaga yetmagan qizning homilador bo‘lishi

Voyaga yetgan erkakning ehtimoliy jinoyati

OAVning noto‘g‘ri yoritishi va jabrlanuvchini ayblash

Etika buzilishi, victim-blaming, va ijtimoiy stereotiplar

Jinoyatning o‘zi emas, qizning homiladorligi markazga chiqarilishi

Bu mavzularning barchasi og‘ir, salbiy va ijtimoiy jihatdan tashvishli."
nu-f-009.pdf,https://t.me/SukutSaqlama/4886,M,newspaper,ChatGPT 5.2,-0.6,"The passage discusses:

Ruhiy zo‘ravonlik (emotional abuse within marriage)

Jabrlanuvchining o‘zini yomon his qilishi

Isbotlash qiyinligi haqidagi qo‘rquv

Zo‘ravonlikning huquqiy jihatlari

Bu mavzular tabiatan og‘ir va salbiy. Matnning asosiy hissiyati — xavotir, tushkunlik, adolatsizlikdan qo‘rquv, va ruhiy bosim."
nu-f-010.pdf,https://t.me/SukutSaqlama/4884,M,newspaper,ChatGPT 5.2,-0.95,"The passage is emotionally heavy and centers on:

Zo‘ravonlik

Samosud holatlari

Adolatsizlik va tizimning ishlamasligi

Jinoyatchilarning jazosiz qolishi

Odamlarning qonunlarga bo‘lgan ishonchini yo‘qotishi

Oilaviy fojealar va vayron bo‘lgan hayotlar

Bu mavzularning barchasi chuqur salbiy hissiyotlar bilan to‘yingan."
nu-f-011.pdf,https://kun.uz/news/2026/01/15/toshkentda-xotinini-toyga-yubormaslik-uchun-yertolaga-qamab-qoygan-sobiq-harbiy-3-yilga-qamaldi,M,article,GPT5.2Thinking,-0.88,"The text is strongly negative in tone because it reports domestic violence and unlawful deprivation of liberty: a husband locks his wife in a damp basement for a day without food or water, beats her on another date, and is convicted and sentenced to prison. The language is centered on harm, fear, coercion, injury, and punishment, with the victim describing terror and ongoing abuse. While the court’s guilty verdict and imprisonment introduce an element of accountability, the overall narrative remains dominated by abuse and suffering, so the net sentiment stays highly negative."
nu-f-012.pdf,https://kun.uz/news/2025/12/13/ozbekistonda-zoravonlikka-uchragan-ayollarning-27-foizi-bunday-holatlarga-ayollarning-ozlari-aybdor-bolishlarini-takidlagan-tadqiqot,M,article,GPT5.2Thinking,-0.72,"The overall tone is negative because the text is centered on violence against women and its harms, using statistics about prolonged and repeated abuse, threats to life (knife threats/attempted killing), and ongoing sexual coercion. It also emphasizes severe mental-health impacts (stress, depression, suicidal thoughts) and the intergenerational effect on children witnessing violence. These themes strongly push the sentiment toward negative. There are some mildly positive / hopeful elements that slightly offset the negativity: the report says protection mechanisms (protection orders, rehab centers, services) are evaluated positively and that violence often stopped or decreased for women who received support, and it offers recommendations for systemic improvement. However, the dominant language remains problem-focused and distress-oriented, so the net sentiment stays clearly negative."
nu-f-013.pdf,https://kun.uz/news/2025/10/29/yopigliq-qozon-qizlariga-koz-olaytirgan-ogay-otalar-haqida-ikki-hikoya,M,article,GPT5.2Thinking,-0.93,"This text is overwhelmingly negative because it describes child sexual abuse by stepfathers, repeated victimization, intimidation of minors (e.g., threats like “your brothers will be left on the street”), and systemic failure in protection and justice. The tone is not just descriptive but also strongly accusatory and alarmed: it emphasizes “horror,” “helplessness,” and the idea that the system protects abusers (lack of psychologists during interrogations, evidence not presented, protection orders repeatedly violated, and officials urging to “keep the lid on”/avoid public exposure). Even where there are procedural steps (complaints filed, a case opened), they are framed as inadequate, reinforcing a sense of injustice and ongoing harm—so the overall sentiment remains intensely negative."
